Field,Variable,Value,Label
HHGroup,1,rMove,Part 2 participation group
HHGroup,2,rSurvey,Part 2 participation group
SampleSegment,1,PSRC - Regular-Low,Sample segment
SampleSegment,2,PSRC - Regular-Medium,Sample segment
SampleSegment,3,PSRC - Regular-High,Sample segment
SampleSegment,11,PSRC - Oversample-Low,Sample segment
SampleSegment,12,PSRC - Oversample-Medium,Sample segment
SampleSegment,13,PSRC - Oversample-High,Sample segment
SampleSegment,22,Redmond - Regular-Medium,Sample segment
SampleSegment,23,Redmond - Regular-High,Sample segment
SampleSegment,31,Redmond - Oversample-Low,Sample segment
SampleSegment,32,Redmond - Oversample-Medium,Sample segment
SampleSegment,33,Redmond - Oversample-High,Sample segment
SampleSegment,42,Redmond - Downtown-Medium,Sample segment
SampleSegment,43,Redmond - Downtown-High,Sample segment
SampleSegment,50,UV - 10%,Sample segment
SampleSegment,51,UV - 15%,Sample segment
SampleSegment,52,UV - 20%,Sample segment
SampleSegment,53,UV - 25%,Sample segment
SampleSegment,54,UV - 30%,Sample segment
SampleSegment,55,UV - 35%,Sample segment
SampleSegment,56,UV - 50%,Sample segment
SampleSegment,57,UV - 60%,Sample segment
SampleSegment,58,UV - 75%,Sample segment
SampleSegment,59,UV - 100%,Sample segment
FinalCnty,1,King,Final Home Address County (derived)
FinalCnty,2,Kitsap,Final Home Address County (derived)
FinalCnty,3,Pierce,Final Home Address County (derived)
FinalCnty,4,Snohomish,Final Home Address County (derived)
Cityofredmond,0,No,Sample address located in Redmond
Cityofredmond,1,Yes,Sample address located in Redmond
Cityofseattle,0,No,Sample address located in Seattle urban village
Cityofseattle,1,Yes,Sample address located in Seattle urban village
PSRC,0,No,Sample address not in Redmond and not in urban village
PSRC,1,Yes,Sample address not in Redmond and not in urban village
FinalHomePuma10,11501,Pierce County (Central)--Tacoma City (Central) PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11502,Pierce County (Northwest)--Peninsula Region & Tacoma City (West) PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11503,Pierce County (West Central)--Lakewood City & Joint Base Lewis-McChord PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11504,"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA",Final home address_ PUMA 2010
FinalHomePuma10,11505,Pierce County (North Central)--Tacoma (Port) & Bonney Lake (Northwest) Cities PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11506,Pierce County (East Central)--Puyallup City & South Hill PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11507,"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge PUMA",Final home address_ PUMA 2010
FinalHomePuma10,11601,Seattle City (Northwest) PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11602,Seattle City (Northeast) PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11603,Seattle City (Downtown)--Queen Anne & Magnolia PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11604,Seattle City (Southeast)--Capitol Hill PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11605,Seattle City (West)--Duwamish & Beacon Hill PUMA,Final home address_ PUMA 2010
