Variable,ValueOrder,ValueText,VariableName,ValueGroup1
HHGroup,1,rMove,Part 2 participation group,rMove
HHGroup,2,rSurvey,Part 2 participation group,rSurvey
SampleSegment,1,PSRC - Regular-Low,Sample segment,PSRC
SampleSegment,2,PSRC - Regular-Medium,Sample segment,PSRC
SampleSegment,3,PSRC - Regular-High,Sample segment,PSRC
SampleSegment,11,PSRC - Oversample-Low,Sample segment,PSRC
SampleSegment,12,PSRC - Oversample-Medium,Sample segment,PSRC
SampleSegment,13,PSRC - Oversample-High,Sample segment,PSRC
SampleSegment,22,Redmond - Regular-Medium,Sample segment,Redmond
SampleSegment,23,Redmond - Regular-High,Sample segment,Redmond
SampleSegment,31,Redmond - Oversample-Low,Sample segment,Redmond
SampleSegment,32,Redmond - Oversample-Medium,Sample segment,Redmond
SampleSegment,33,Redmond - Oversample-High,Sample segment,Redmond
SampleSegment,42,Redmond - Downtown-Medium,Sample segment,Redmond
SampleSegment,43,Redmond - Downtown-High,Sample segment,Redmond
SampleSegment,50,UV - 10%,Sample segment,Seattle Urban Village
SampleSegment,51,UV - 15%,Sample segment,Seattle Urban Village
SampleSegment,52,UV - 20%,Sample segment,Seattle Urban Village
SampleSegment,53,UV - 25%,Sample segment,Seattle Urban Village
SampleSegment,54,UV - 30%,Sample segment,Seattle Urban Village
SampleSegment,55,UV - 35%,Sample segment,Seattle Urban Village
SampleSegment,56,UV - 50%,Sample segment,Seattle Urban Village
SampleSegment,57,UV - 60%,Sample segment,Seattle Urban Village
SampleSegment,58,UV - 75%,Sample segment,Seattle Urban Village
SampleSegment,59,UV - 100%,Final Home Address County (derived),King
FinalCnty,1,King,Final Home Address County (derived),Kitsap
FinalCnty,2,Kitsap,Final Home Address County (derived),Pierce
FinalCnty,3,Pierce,Final Home Address County (derived),Snohomish
FinalCnty,4,Snohomish,Sample address located in Redmond,No
CityOfRedmond,0,No,Sample address located in Redmond,Yes
CityOfRedmond,1,Yes,Sample address located in Seattle urban village,No
CityOfSeattle,0,No,Sample address located in Seattle urban village,Yes
CityOfSeattle,1,Yes,Sample address not in Redmond and not in urban village,No
PSRC,0,No,Sample address not in Redmond and not in urban village,Yes
PSRC,1,Yes,Final home address: PUMA 2010,Pierce County
