Variables,Name,Category,Table,Detail
None,None,None,Person,None
Gender,Gender,Person,Person,Gender
RaceCategory,Race Group,Person,Person,"Race or Ethnicity, in very broad groups for sufficient samples for statistical significance; children did not answer this question, and some people chose not to answer. "
AgeCategory,Age Group,Person,Person,"Age in years,  in broad groups for sufficient samples for statistical significance"
Age,Age,Person,Person,"Age in years, detailed age group"
Education,Education,Person,Person,Highest level of education completed
License,Driver's License,Person,Person,Survey Question: Has a valid driver's license or permit?
ModeFreq1,Times ridden transit in past 30 days,Travel,Person,"Survey Question: In the past 30 days, how often have you ridden transit?"
ModeFreq2,Times ridden a bike in past 30 days,Travel,Person,"Survey Question: In the past 30 days, how often have you ridden a bike (for 15 minutes or more?"
ModeFreq3,Times gone for a walk in past 30 days,Travel,Person,"Survey Question: In the past 30 days, how often have you gone for a walk (for 15 minutes or more)?"
ModeFreq4,Times used carshare in past 30 days,Travel,Person,"Survey Question: Age 16+, In the past 30 days, how often have you used Carshare (e.g. car2go, RelayRides)?"
ModeFreq5,Times used rideshare in past 30 days,Travel,Person,"Survey Question: Age 16+, In the past 30 days, how often have you used Rideshare (e.g. Lyft, Uber)?"
MainMode,Mode Group,Travel,Trip,"Mode Category, in broad groups for sufficient samples for statistical significance"
DestPurposeSimple,Destination Purpose Group,Travel,Trip,"Destination purpose category, in broad groups for sufficient samples for statistical significance"
Orgcname,Trip Origin Regional Growth Center,Travel,Trip,Trip Origin Regional Growth Center
Drgcname,Trip Destination Regional Growth Center,Travel,Trip,Trip Destination Regional Growth Center
ModeAcc,Transit Access Mode,Travel,Trip,Survey Question: How did you travel from your origin to the first transit stop/station?
TravelersTotal,Number of People in Vehicle,Travel,Trip,Number of people total who traveled on trip
TravelersHH,Number of Household Members Travelling With,Travel,Trip,Household members who traveled on trip
MainMode,Detailed Mode,Travel,Trip,"Main way traveled on trip, detailed"
Destination purpose,Detailed Purpose,Travel,Trip,"Main purpose of trip, detailed category"
Driver,Driver or Passenger,Travel,Trip,Survey Question: Were you the driver or passenger on the trip?
Park,Parking Location at Trip Destination,Travel,Trip,Survey Question: Where was the vehicle parked at/near?
Employment,Employment Status,Worker,Person,Primary type of employment
HoursWork,Hours Worked,Worker,Person,Survey Question: How many hours typically worked per week?
CommuteFreq,Commute Frequency,Worker,Person,Survey Question: How often typically commutes to workplace?
CommuteMode,Usual Commute Mode,Worker,Person,Usual way of commuting to workplace (mode use for greatest distance during usual commute)
CommuteDuration,Commute Duration,Worker,Person,Survey Question: How long has been commuting to current location/office?
TelecommuteFreq,Telecommute Frequency,Worker,Person,Survey Question: How often telecommutes?
